school_type,grade_level,subject,gender,score,study_hours,pass_rate
Private,Grade 11,Art,Male,49.94,3.27,0.513
Private,Grade 7,Science,Female,75.7,6.21,0.856
Public,Grade 8,Art,Male,44.1,1.92,0.378
Private,Grade 6,Art,Male,44.75,7.52,0.491
Charter,Grade 9,PE,Female,84.67,7.55,0.937
Private,Grade 9,History,Female,94.97,7.11,0.9
Charter,Grade 9,History,Female,42.73,4.19,0.379
Private,Grade 8,Math,Female,74.48,0.85,0.707
Private,Grade 7,History,Male,53.5,0.57,0.539
Private,Grade 6,History,Male,53.04,3.71,0.447
Private,Grade 7,Music,Female,98.54,3.63,0.979
Public,Grade 11,Math,Male,42.46,5.63,0.459
Charter,Grade 9,Art,Female,54.25,3.97,0.45
Public,Grade 10,History,Male,66.33,6.85,0.71
Private,Grade 11,Computer Science,Male,43.1,2.54,0.493
Public,Grade 7,History,Male,69.51,7.22,0.749
Public,Grade 6,History,Female,53.53,1.32,0.609
Charter,Grade 8,History,Male,43.77,2.49,0.497
Charter,Grade 10,Art,Female,43.28,3.45,0.532
Charter,Grade 11,English,Male,42.77,4.41,0.511
Private,Grade 9,English,Female,48.27,3.95,0.409
Public,Grade 11,Art,Male,98.83,1.52,0.958
Private,Grade 11,English,Female,72.43,5.79,0.686
Private,Grade 10,Art,Female,54.58,7.59,0.451
Charter,Grade 9,Math,Female,87.3,1,0.823
Charter,Grade 9,Music,Female,97.82,3.91,1
Private,Grade 6,History,Female,84.41,5.93,0.828
Public,Grade 10,Science,Male,84.69,6.71,0.795
Public,Grade 7,Computer Science,Male,98.88,1.08,1
Public,Grade 11,English,Female,77.97,0.74,0.854
Charter,Grade 8,History,Female,46.7,1.88,0.56
Charter,Grade 8,Music,Female,87.53,6.29,0.801
Private,Grade 6,English,Female,77.64,4.9,0.706
Charter,Grade 9,History,Male,96.43,3.75,1
Private,Grade 9,Art,Female,58.52,1.8,0.658
Private,Grade 10,Science,Female,66.03,5.9,0.727
Private,Grade 7,Math,Male,85.32,5.4,0.766
Charter,Grade 9,PE,Male,85.46,7.76,0.935
Public,Grade 10,History,Male,80.33,1.91,0.851
Public,Grade 8,PE,Female,65.25,1.25,0.74
Charter,Grade 6,Computer Science,Male,96.06,1.68,1
Private,Grade 11,Music,Male,41.39,6.53,0.473
Public,Grade 10,History,Female,89.2,3.76,0.869
Private,Grade 11,History,Female,44.98,0.62,0.407
Public,Grade 8,PE,Female,99.74,7.04,0.911
Private,Grade 10,PE,Female,92.85,2.9,0.93
Charter,Grade 10,English,Male,41.99,5.68,0.328
Private,Grade 7,Art,Male,69.56,4.64,0.761
Private,Grade 6,Computer Science,Female,73.05,6.55,0.761
Private,Grade 10,Computer Science,Male,95.69,0.66,0.908
Charter,Grade 6,PE,Female,42.88,4.88,0.4
Public,Grade 9,History,Female,59.22,3.51,0.526
Private,Grade 8,Art,Female,55.92,2.28,0.552
Charter,Grade 6,PE,Female,77.95,7.42,0.694
Public,Grade 10,History,Female,49,3.93,0.522
Private,Grade 9,Computer Science,Female,71.09,2.72,0.685
Private,Grade 11,History,Female,42.27,6.84,0.486
Public,Grade 8,Science,Male,82.09,1.14,0.847
Public,Grade 11,Music,Female,94.45,3.89,0.875
Charter,Grade 11,Art,Female,53.66,6.02,0.577
Public,Grade 7,English,Male,51.6,7.67,0.451
Charter,Grade 11,English,Male,79.38,6.8,0.852
Charter,Grade 8,Music,Female,51.17,0.87,0.587
Private,Grade 11,English,Female,72.1,0.58,0.722
Charter,Grade 7,Art,Male,43.99,2.16,0.459
Charter,Grade 11,Art,Male,84.21,4.45,0.837
Charter,Grade 6,Art,Male,83.97,3.39,0.788
Charter,Grade 8,Computer Science,Male,82.6,2.64,0.839
Charter,Grade 10,Music,Male,92.9,0.56,0.991
Public,Grade 8,Computer Science,Female,92.46,3.52,0.927
Private,Grade 7,Music,Male,74.61,4.47,0.821
Public,Grade 11,English,Male,50.28,7.35,0.596
Public,Grade 10,Computer Science,Male,91.99,2.61,0.825
Charter,Grade 6,PE,Female,71.8,6.72,0.731
Charter,Grade 8,Art,Male,82.34,3.32,0.914
Public,Grade 8,Computer Science,Male,91.14,7.48,0.872
Charter,Grade 10,Science,Male,80.42,4.28,0.788
Private,Grade 6,Science,Male,85.57,4.51,0.868
Charter,Grade 7,Art,Male,50.89,5.74,0.572
Charter,Grade 7,History,Male,96.32,7.14,1
Charter,Grade 11,Math,Male,77.46,4.29,0.71
Charter,Grade 8,History,Male,81.15,6.06,0.863
Public,Grade 11,PE,Female,96.19,4.7,0.889
Private,Grade 11,History,Female,99.3,5.23,1
Private,Grade 6,PE,Female,84.03,4.1,0.772
Public,Grade 8,Art,Male,55.18,7.9,0.636
Public,Grade 7,PE,Male,80.63,3.55,0.774
Public,Grade 6,PE,Female,93.49,3.55,0.957
Public,Grade 11,English,Female,80.47,4.15,0.822
Charter,Grade 6,Art,Female,82.4,1.03,0.806
Private,Grade 9,Math,Male,88.67,4.76,0.961
Private,Grade 6,Science,Female,80.01,0.65,0.764
Public,Grade 8,Art,Female,94.47,0.86,0.916
Public,Grade 9,History,Male,43.17,3.24,0.393
Private,Grade 7,Music,Female,85.49,1.27,0.899
Public,Grade 9,English,Female,63.95,2.49,0.707
Public,Grade 11,Art,Female,88.46,2.91,0.94
Private,Grade 10,Computer Science,Female,88.56,6.98,0.857
Public,Grade 7,History,Female,47.63,5.76,0.536
Public,Grade 10,History,Female,41.09,7.71,0.37
Public,Grade 6,PE,Male,69.86,5.35,0.7
Public,Grade 11,History,Female,48.71,0.55,0.394
Charter,Grade 9,Science,Female,52.61,7.61,0.428
Charter,Grade 8,PE,Female,65.93,1.95,0.612
Private,Grade 6,Music,Female,59.77,6.3,0.544
Charter,Grade 6,Science,Female,94.91,7.35,0.993
Private,Grade 6,Computer Science,Female,52.29,6.18,0.581
Public,Grade 8,History,Male,91.39,3.58,0.893
Private,Grade 8,PE,Male,68.85,5.79,0.632
Public,Grade 6,Music,Female,51.67,1.48,0.472
Charter,Grade 7,Science,Female,55.04,6.13,0.459
Public,Grade 6,Science,Male,69.73,2.55,0.783
Public,Grade 9,History,Male,95.62,2.56,0.952
Public,Grade 8,History,Male,86.09,1.09,0.917
Private,Grade 7,Math,Female,74.38,3.08,0.797
Charter,Grade 10,Art,Male,56.63,0.68,0.521
Charter,Grade 11,Computer Science,Female,46.1,0.52,0.555
Charter,Grade 8,Math,Female,54.23,1.67,0.572
Private,Grade 11,Math,Male,81.65,0.96,0.882
Public,Grade 11,Science,Female,65.9,4.42,0.589
Private,Grade 11,Science,Male,46.29,1.37,0.54
Private,Grade 8,History,Female,49.8,6.91,0.425
Public,Grade 7,English,Female,46.61,4.36,0.395
Private,Grade 9,History,Male,89.99,7.49,0.84
Public,Grade 11,English,Female,87.12,1.05,0.904
Charter,Grade 8,Computer Science,Male,80.67,5.86,0.711
Public,Grade 8,English,Male,58.67,1.58,0.594
Private,Grade 11,Science,Female,43.17,6.9,0.381
Private,Grade 6,Science,Male,50.71,5.89,0.477
Private,Grade 10,Music,Female,51.11,7.93,0.505
Private,Grade 9,Art,Male,71.85,3.93,0.755
Private,Grade 7,PE,Female,60.05,7.64,0.659
Private,Grade 11,History,Female,61.69,4.5,0.672
Charter,Grade 11,Music,Male,75.37,5.31,0.718
Charter,Grade 8,Music,Female,82.88,3.79,0.776
Public,Grade 11,Computer Science,Male,60.07,1.05,0.535
Charter,Grade 11,Music,Female,56.5,5.67,0.51
Private,Grade 9,Math,Male,85.29,2.72,0.952
Public,Grade 11,Music,Male,87.46,1.64,0.861
Public,Grade 6,Computer Science,Female,72.52,7.36,0.793
Public,Grade 10,History,Male,85.49,7.63,0.879
Charter,Grade 8,Math,Female,52.31,6.5,0.549
Private,Grade 10,Science,Female,89.86,3.64,0.988
Private,Grade 6,Music,Female,97.79,7.66,0.898
Public,Grade 9,Art,Female,60.88,6.81,0.705
Public,Grade 8,Computer Science,Female,47.07,3.92,0.502
Charter,Grade 6,Art,Female,62.94,2.49,0.719
Charter,Grade 11,Science,Female,91.98,1.01,0.966
Charter,Grade 9,History,Male,75.85,7.89,0.824
Private,Grade 9,Art,Female,66.5,6.13,0.661
Charter,Grade 11,Art,Male,91.1,3.74,0.921
Public,Grade 11,Music,Male,93.18,1.19,0.845
Charter,Grade 9,Computer Science,Female,80.42,0.84,0.788
Public,Grade 7,English,Female,95.3,2,0.921
Charter,Grade 8,Art,Female,43.21,3.8,0.355
Charter,Grade 6,Computer Science,Male,93.41,7.51,0.997
Public,Grade 6,Music,Female,86.65,4.67,0.937
Public,Grade 7,Art,Female,93.69,4.54,1
Charter,Grade 11,History,Female,49.53,0.63,0.429
Private,Grade 6,Art,Male,71,3.13,0.734
Charter,Grade 6,Computer Science,Male,86.81,3.04,0.915
Public,Grade 7,English,Female,61.84,7.46,0.638
Public,Grade 7,Art,Male,92.26,7.17,0.883
Private,Grade 11,Computer Science,Female,59.7,1.66,0.513
Charter,Grade 8,Math,Male,54.19,4.66,0.613
Charter,Grade 7,Science,Male,51.86,1.8,0.588
Public,Grade 7,Art,Male,73.86,7.32,0.737
Charter,Grade 8,Science,Male,87.13,7.98,0.94
Private,Grade 11,English,Female,59.78,1.19,0.522
Charter,Grade 8,PE,Female,88.27,0.59,0.859
Charter,Grade 7,History,Female,72.27,3.5,0.709
Public,Grade 9,PE,Female,77.33,1.31,0.858
Charter,Grade 7,Computer Science,Male,54.5,1.66,0.562
Charter,Grade 8,Computer Science,Female,52.85,5.28,0.54
Private,Grade 9,History,Female,87.41,3.18,0.821
Private,Grade 11,Math,Female,87.16,4.38,0.795
Public,Grade 8,Math,Male,62.79,6.99,0.621
Charter,Grade 11,History,Male,68.9,4.16,0.714
Public,Grade 9,English,Male,88.28,2.63,0.808
Public,Grade 11,PE,Female,95.19,4.29,1
Charter,Grade 6,English,Male,95.43,4.64,0.868
Public,Grade 9,Music,Female,62.54,7.05,0.666
Charter,Grade 11,Math,Female,47.57,2.93,0.573
Charter,Grade 11,Music,Male,87.17,7.67,0.824
Private,Grade 11,Science,Female,45.97,0.55,0.39
Charter,Grade 11,Computer Science,Male,56.99,4.02,0.523
Public,Grade 11,Computer Science,Female,56.84,0.94,0.622
Private,Grade 8,PE,Female,73.92,3.23,0.734
Public,Grade 8,English,Male,83.21,5.55,0.835
Public,Grade 7,PE,Male,42.01,6.99,0.422
Charter,Grade 7,Math,Female,80.1,2.01,0.712
Charter,Grade 6,English,Female,71.83,1.07,0.818
Public,Grade 7,PE,Male,52.59,6.85,0.47
Charter,Grade 10,English,Male,59.17,3.16,0.553
Charter,Grade 7,Math,Female,94.98,3.55,0.946
Private,Grade 7,Music,Female,65.59,7.36,0.686
Private,Grade 10,Computer Science,Female,78.57,7.2,0.847
Private,Grade 7,Science,Female,99.86,6.34,0.966
Private,Grade 9,Math,Female,89.77,3.6,0.968
Public,Grade 6,Art,Male,70.8,1.75,0.752
Public,Grade 11,Science,Male,45.23,5.69,0.552
Charter,Grade 7,PE,Female,54.29,1.79,0.553
Charter,Grade 6,History,Female,74.64,6.9,0.808
Private,Grade 10,Math,Male,47.76,5.17,0.463
Public,Grade 11,PE,Male,56.57,0.88,0.491
Charter,Grade 9,Computer Science,Female,92.19,6.9,0.86
Charter,Grade 7,Math,Female,92.94,6.86,0.886
Public,Grade 7,English,Male,79.82,1.3,0.698
Charter,Grade 8,Computer Science,Male,72.92,5.84,0.656
Charter,Grade 10,Music,Male,66.03,6.75,0.665
Charter,Grade 7,PE,Male,95.29,1.52,0.95
Charter,Grade 9,History,Female,83.58,1.26,0.858
Charter,Grade 10,Math,Female,95.13,1.89,0.954
Charter,Grade 10,English,Female,67.3,7.72,0.741
Public,Grade 11,Math,Male,54.49,0.51,0.601
Public,Grade 11,Art,Male,65.25,6.43,0.557
Public,Grade 8,Music,Female,52.47,5.9,0.497
Public,Grade 7,Art,Female,64.71,4.65,0.729
Public,Grade 6,Math,Female,61.62,3.97,0.559
Private,Grade 7,Computer Science,Male,86.44,3.76,0.924
Charter,Grade 6,Computer Science,Female,81.93,7.34,0.757
Public,Grade 6,Science,Male,57.46,4.14,0.475
Private,Grade 10,Computer Science,Male,53.62,3.34,0.611
Public,Grade 11,History,Male,57.27,6.94,0.481
Charter,Grade 6,English,Male,84.04,4.35,0.823
Private,Grade 6,Art,Female,44.44,3.3,0.41
Charter,Grade 11,Music,Female,71.74,2.67,0.816
Private,Grade 6,Computer Science,Male,95.89,5.25,1
Private,Grade 9,Computer Science,Male,42.55,2.48,0.421
Private,Grade 10,PE,Male,94.35,7,0.941
Public,Grade 9,Computer Science,Male,88.47,6.21,0.89
Public,Grade 8,PE,Female,86.5,7.32,0.869
Charter,Grade 7,English,Female,41.68,2.95,0.462
Private,Grade 6,Science,Male,97.93,7.25,0.94
Public,Grade 8,PE,Male,47.63,2.83,0.543
Charter,Grade 8,Math,Female,50.62,5.74,0.558
Charter,Grade 9,Art,Female,90.21,5.53,0.984
Charter,Grade 7,English,Female,47.41,3.31,0.481
Public,Grade 8,Science,Female,98.87,4.63,1
Public,Grade 11,Math,Female,55.43,7.06,0.48
Private,Grade 10,Art,Male,56.92,2.08,0.513
Public,Grade 8,Art,Female,58.55,3.14,0.53
Charter,Grade 8,History,Male,54.36,2.78,0.603
Charter,Grade 9,English,Female,67.6,6.03,0.577
Public,Grade 6,Math,Female,79.86,3.47,0.838
Private,Grade 11,Math,Male,48.74,2.74,0.388
Charter,Grade 11,Science,Female,83.06,5.64,0.779
Public,Grade 9,Art,Male,96.04,7.82,0.993
Public,Grade 7,Computer Science,Male,77.98,7.7,0.803
Public,Grade 7,Computer Science,Male,66.59,1.38,0.632
Charter,Grade 7,PE,Female,41.62,7.4,0.348
Charter,Grade 7,Computer Science,Female,88.77,7.41,0.869
Charter,Grade 9,Science,Female,76.72,4.26,0.83
Private,Grade 7,Art,Male,56.23,6.14,0.53
Public,Grade 8,Music,Male,74.27,3.01,0.84
Charter,Grade 6,Math,Male,53.59,5.17,0.552
Private,Grade 9,PE,Female,85.36,5.6,0.857
Public,Grade 10,Music,Female,45.22,4.19,0.37
Private,Grade 10,Music,Female,99.9,5.39,0.998
Public,Grade 11,History,Male,51.26,6.04,0.465
Public,Grade 7,Computer Science,Female,60.12,0.99,0.571
Public,Grade 10,Math,Male,46.26,1.15,0.478
Public,Grade 6,English,Female,97.16,4.71,1
Charter,Grade 10,Computer Science,Male,98.31,7.18,1
Charter,Grade 8,English,Female,61.41,4.61,0.568
Public,Grade 7,History,Male,96.65,5.49,1
Charter,Grade 9,PE,Female,42.34,7,0.347
Private,Grade 8,Science,Female,91.24,3.45,0.871
Private,Grade 11,Art,Male,77.98,6.08,0.796
Private,Grade 11,Math,Male,96.34,1.09,1
Charter,Grade 10,Music,Male,94.38,2.48,0.915
Charter,Grade 10,Science,Female,95.11,5.6,1
Private,Grade 10,Music,Male,67.01,3.35,0.714
Public,Grade 9,Science,Female,65.7,5.05,0.659
Private,Grade 11,Computer Science,Female,90.73,6.58,0.858
Private,Grade 11,Math,Male,68.55,4.49,0.664
Private,Grade 10,History,Male,82.58,7.84,0.822
Private,Grade 10,Science,Male,70.41,6.97,0.667
Private,Grade 10,PE,Female,99.01,2.46,0.904
Private,Grade 7,History,Male,54.89,4.19,0.554
Private,Grade 8,English,Female,64.37,5.09,0.642
Private,Grade 8,English,Female,58.71,3.91,0.555
Private,Grade 8,Math,Male,85.65,6.82,0.796
Private,Grade 9,Art,Male,92.36,3.08,0.931
Charter,Grade 6,English,Male,63.82,3.33,0.565
Public,Grade 7,Computer Science,Male,98.98,6.58,1
Private,Grade 7,PE,Female,72.14,5.41,0.758
Charter,Grade 10,Math,Male,73.9,2.37,0.7
Public,Grade 10,Math,Male,57.81,6.8,0.565
Public,Grade 7,PE,Female,67.48,3.74,0.772
Charter,Grade 7,History,Female,61.14,7.79,0.689
Charter,Grade 10,Music,Female,52.17,7.39,0.478
Private,Grade 8,History,Male,83.02,0.66,0.899
Public,Grade 8,Computer Science,Male,47.05,1.61,0.382
Public,Grade 11,Art,Male,99.1,1.99,0.972
Charter,Grade 11,English,Female,56.33,0.74,0.641
Private,Grade 10,Computer Science,Male,55.55,4.22,0.587
Private,Grade 10,Science,Male,82.45,4.44,0.826
Public,Grade 9,Science,Female,54.06,4.03,0.598
Public,Grade 8,PE,Male,55.07,3.99,0.593
Private,Grade 9,History,Female,74.92,2.01,0.842
Public,Grade 10,Science,Male,58.87,0.95,0.655
Public,Grade 10,History,Male,65.77,6.21,0.739
Public,Grade 7,Math,Female,88.87,2.52,0.811
Charter,Grade 8,English,Female,45.52,1.71,0.447
Public,Grade 6,History,Female,63.71,3.4,0.685
Private,Grade 10,English,Female,76.3,2.86,0.843
Private,Grade 11,Art,Male,64.66,0.98,0.552
Charter,Grade 8,History,Female,49.09,1.13,0.397
Private,Grade 9,Music,Male,85.16,7.54,0.86
Private,Grade 10,Music,Female,74.35,2.24,0.653
Charter,Grade 6,Math,Male,78.9,7.1,0.823
Private,Grade 7,History,Female,62.31,2.58,0.559
Charter,Grade 7,Computer Science,Female,40.06,2.58,0.474
Public,Grade 6,PE,Male,67.42,1.92,0.596
Public,Grade 8,Science,Female,51.7,3.81,0.554
Private,Grade 10,Art,Male,47.69,4.86,0.398
Private,Grade 11,Math,Female,89.48,4.21,0.836
Public,Grade 9,PE,Male,58.75,0.68,0.548
Public,Grade 9,Science,Male,47.72,4.21,0.512
Public,Grade 6,Computer Science,Male,78.67,2.78,0.862
Charter,Grade 9,Computer Science,Female,69.7,2.17,0.716
Charter,Grade 6,PE,Male,93.93,5.59,0.98
Charter,Grade 10,History,Female,94.17,6.91,0.933
Private,Grade 10,PE,Male,85.78,5.84,0.806
Public,Grade 7,Art,Male,75.9,2.29,0.784
Private,Grade 8,Science,Female,97.67,5.16,0.976
Public,Grade 7,Computer Science,Male,85.91,2.53,0.886
Charter,Grade 10,English,Female,92.08,0.57,0.85
Public,Grade 10,English,Male,62.39,1.87,0.539
Private,Grade 6,Music,Female,90.78,6.69,0.966
Charter,Grade 9,History,Male,98.52,5.51,0.925
Charter,Grade 7,Science,Female,61.18,0.69,0.621
Private,Grade 10,Computer Science,Male,76.13,7.58,0.819
Public,Grade 9,Music,Female,70.54,6.49,0.757
Private,Grade 9,History,Female,90.23,4.09,0.985
Charter,Grade 10,Computer Science,Female,94.94,2.75,0.955
Public,Grade 10,Math,Female,63.8,2.78,0.624
Private,Grade 10,Art,Male,74.75,3.25,0.681
Private,Grade 10,History,Female,79.99,3.5,0.716
Private,Grade 8,Music,Female,40.36,3.45,0.421
Private,Grade 6,English,Female,77.49,4.76,0.759
Public,Grade 10,Music,Male,83.2,5.25,0.825
Charter,Grade 6,Art,Male,43.28,2.8,0.404
Public,Grade 7,English,Female,67.75,4.91,0.77
Private,Grade 9,Math,Female,80.59,2.6,0.744
Public,Grade 7,History,Male,69.34,5.04,0.702
Private,Grade 9,Music,Male,86.65,2.94,0.774
Public,Grade 6,History,Female,43.87,3.64,0.395
Public,Grade 10,Math,Male,99.26,7.57,0.985
Private,Grade 8,Science,Male,42.9,7.82,0.507
Public,Grade 8,Computer Science,Male,42.37,0.79,0.518
Public,Grade 11,Computer Science,Female,69.89,6.54,0.669
Public,Grade 8,History,Female,59.59,0.78,0.502
Public,Grade 6,PE,Male,56.05,5.81,0.659
Public,Grade 11,English,Female,43.99,5.22,0.35
Charter,Grade 6,Music,Male,54.89,7.41,0.511
Public,Grade 6,Science,Male,77.6,7.2,0.76
Private,Grade 8,History,Male,81.81,3.56,0.795
Private,Grade 7,Computer Science,Male,94.97,6.84,0.936
Private,Grade 9,Science,Female,91.8,7.55,0.841
Charter,Grade 9,Art,Female,54.67,1.73,0.503
Charter,Grade 8,Science,Female,88.87,2.61,0.918
Public,Grade 11,Art,Female,81.15,2.3,0.768
Charter,Grade 8,English,Male,40.37,1.18,0.397
Public,Grade 8,English,Male,63.05,1.78,0.61
Private,Grade 9,PE,Female,82.56,2.72,0.869
Public,Grade 6,Science,Female,97.68,3.04,0.941
Charter,Grade 7,Art,Male,98.96,4.31,0.893
Charter,Grade 7,Music,Male,84.33,3.08,0.941
Charter,Grade 10,Math,Male,97.77,2.19,1
Charter,Grade 6,Music,Male,74.98,0.7,0.7
Charter,Grade 7,Computer Science,Female,79.68,2.2,0.723
Public,Grade 11,Math,Female,90.19,3.67,0.98
Private,Grade 11,Computer Science,Female,41.07,1.88,0.361
Public,Grade 9,Art,Female,47.41,2.69,0.545
Private,Grade 7,PE,Female,88.71,4.81,0.962
Charter,Grade 10,English,Male,51.06,7.7,0.46
Charter,Grade 9,Computer Science,Male,97.77,7.69,0.926
Public,Grade 6,Music,Male,52.42,1.71,0.541
Public,Grade 6,English,Male,55.43,0.64,0.517
Private,Grade 9,PE,Male,53.3,6.6,0.624
Private,Grade 6,Math,Female,84.03,5.71,0.845
Charter,Grade 7,Computer Science,Female,53.32,2.19,0.583
Public,Grade 9,Art,Female,55.16,1.14,0.578
Charter,Grade 9,History,Female,69.94,2.2,0.604
Private,Grade 10,Computer Science,Female,48.59,1.93,0.553
Private,Grade 8,Math,Male,71.64,2.17,0.684
Public,Grade 9,Math,Male,94.35,2.79,0.981
Public,Grade 10,Music,Male,87.42,4.29,0.815
Charter,Grade 9,Art,Male,68.35,7.03,0.782
Public,Grade 10,Computer Science,Female,88.06,5.77,0.905
Charter,Grade 9,English,Female,68.59,7.78,0.67
Public,Grade 11,PE,Male,65.71,6.2,0.652
Private,Grade 9,Computer Science,Male,81.06,6.01,0.904
Private,Grade 9,English,Male,97.89,7.52,1
Charter,Grade 7,Science,Male,44.24,3.33,0.431
Public,Grade 6,Math,Male,41.73,3.65,0.456
Charter,Grade 9,PE,Male,89.59,1.43,0.866
Public,Grade 10,Art,Male,78.95,6.29,0.824
Private,Grade 8,History,Male,96.05,2.37,0.919
Public,Grade 10,Math,Male,69.18,0.75,0.792
Charter,Grade 8,Science,Female,64.77,2.07,0.668
Charter,Grade 10,Computer Science,Male,41.21,4.61,0.422
Private,Grade 11,History,Female,50.18,7.42,0.531
Private,Grade 7,English,Male,78.77,4.07,0.817
Private,Grade 10,English,Female,58.54,6.78,0.616
Charter,Grade 6,Computer Science,Male,94.25,7.14,0.908
Private,Grade 6,PE,Female,54.79,5.24,0.537
Charter,Grade 8,Computer Science,Male,45.02,3.14,0.541
Charter,Grade 6,Music,Male,78.84,1.04,0.876
Charter,Grade 11,Music,Female,78.38,5.52,0.78
Private,Grade 11,Art,Female,86.93,6.29,0.868
Public,Grade 10,English,Female,45.02,7.27,0.384
Private,Grade 7,Science,Male,69.09,6.29,0.682
Public,Grade 10,Music,Female,69.4,7.69,0.744
Charter,Grade 10,PE,Female,66.25,5.05,0.675
Charter,Grade 7,English,Female,87.52,4.62,0.957
Private,Grade 11,Science,Male,71.18,3.36,0.682
Public,Grade 6,English,Female,80.34,4.14,0.754
Private,Grade 8,Computer Science,Male,79.92,3.29,0.708
Private,Grade 7,Music,Female,74.89,4.9,0.673
Private,Grade 10,English,Male,91.08,0.83,0.831
Public,Grade 6,Art,Male,83.63,7.4,0.814
Charter,Grade 6,English,Female,48.8,7.26,0.462
Charter,Grade 9,History,Male,81.37,1.53,0.726
Private,Grade 7,Computer Science,Female,71.95,2.64,0.715
Charter,Grade 11,Computer Science,Male,87.1,4.61,0.94
Charter,Grade 7,English,Male,81.72,2.78,0.847
Charter,Grade 8,Computer Science,Female,57.46,7.92,0.567
Charter,Grade 10,PE,Female,82.39,6.59,0.734
Private,Grade 11,Computer Science,Male,78.92,3.55,0.789
Private,Grade 9,History,Male,62.57,7.37,0.61
Charter,Grade 8,Music,Male,44.13,4.48,0.477
Charter,Grade 11,Math,Female,47.98,3.65,0.56
Private,Grade 6,English,Male,96.97,5.52,0.963
Private,Grade 7,Art,Male,62.63,0.91,0.592
Charter,Grade 6,Science,Female,74.97,6.87,0.758
Private,Grade 8,English,Female,89.19,7.44,0.856
Charter,Grade 9,Art,Female,49.26,7.8,0.531
Private,Grade 6,Science,Female,63.39,3.25,0.553
Charter,Grade 8,Music,Male,71.02,0.54,0.73
Private,Grade 7,PE,Female,80.9,3.56,0.886
Private,Grade 10,English,Female,66.69,2.76,0.67
Private,Grade 6,PE,Female,79.1,2.74,0.838
Public,Grade 7,Science,Male,97.32,1.09,0.977
Charter,Grade 10,PE,Female,97.33,2.3,1
Charter,Grade 7,English,Male,82.85,1.34,0.898
Private,Grade 8,Art,Male,93.28,5.46,0.963
Charter,Grade 8,History,Male,50.25,1,0.488
Charter,Grade 8,History,Female,99.13,2.5,0.992
Public,Grade 9,Computer Science,Male,72.98,0.55,0.79
Charter,Grade 8,History,Female,69.32,1,0.767
Charter,Grade 7,Science,Female,84.31,4.24,0.919
Charter,Grade 8,English,Male,86.66,7.02,0.865
Public,Grade 8,Music,Female,92.58,5.91,1
Public,Grade 11,Music,Male,71.04,5.63,0.756
Private,Grade 10,PE,Male,56.82,6.8,0.644
Public,Grade 7,Music,Female,45.64,5.91,0.44
Public,Grade 8,English,Male,76.62,7.09,0.727
Private,Grade 10,Science,Male,86.53,4.27,0.832
Private,Grade 9,Computer Science,Female,75.86,3.7,0.674
Public,Grade 11,Science,Male,91.61,1.99,0.903
Private,Grade 8,Art,Female,54.27,1.15,0.608
Private,Grade 10,Science,Male,59.09,6.35,0.519
Public,Grade 10,PE,Female,61.82,3.07,0.555
Charter,Grade 7,PE,Female,41.42,4.2,0.51
Private,Grade 10,PE,Female,85.46,6.25,0.93
